{\rtf1\ansi\ansicpg1252\cocoartf2759
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 name,price,quantity,amtSold,expDate,conSubstance,allergens\
PainReliefCapsule,$12.50,100,25,08/15/2024,true,ibuprofen,paracetamol\
ColdCureSyrup,$8.99,50,10,09/10/2025,false,aspirin,acetaminophen\
AllergyReliefTablet,$15.00,200,50,05/20/2024,true,diphenhydramine,loratadine\
VitaminC500mg,$5.75,150,30,12/31/2024,false,none\
CoughSuppressant,$7.80,75,15,01/25/2025,true,guaifenesin,dextromethorphan\
SleepAidCapsule,$10.25,120,40,03/15/2024,true,melatonin,antihistamine\
HeartHealthPill,$20.99,60,12,11/11/2025,true,warfarin,aspirin\
StomachReliefTablet,$9.50,130,20,06/06/2024,false,omeprazole,ranitidine\
PainReliefGel,$11.20,80,18,07/22/2025,false,naproxen,ibuprofen\
EyeReliefDrops,$6.00,45,8,02/28/2025,true,antazoline,tetryzoline\
JointReliefCapsule,$22.75,90,35,04/10/2024,true,glucosamine,chondroitin\
AntacidChewable,$3.25,300,100,05/30/2024,false,none\
ColdReliefTablet,$9.00,75,22,10/05/2024,false,acetaminophen,phenylephrine\
AllergyNasalSpray,$12.75,60,15,03/12/2025,true,fluticasone,azelastine\
MuscleRelaxantCream,$14.00,50,13,07/18/2025,false,ibuprofen,menthol\
DigestiveAidPill,$6.50,110,25,09/14/2025,true,bisacodyl,senna\
HeadacheReliefTablet,$8.75,200,75,01/31/2024,true,acetaminophen,caffeine\
ImmuneBoostPowder,$15.50,150,60,06/20/2024,false,echinacea,elderberry\
SkinAllergyCream,$9.95,85,20,04/05/2025,true,hydrocortisone,antihistamine\
EnergyBoostCapsule,$18.30,95,45,05/22/2024,false,caffeine,guarana\
NasalDecongestant,$7.60,120,32,12/11/2024,false,phenylephrine,oxymetazoline\
ThroatSootherLozenge,$4.90,160,55,02/20/2025,false,menthol,eucalyptus\
AntiNauseaTablet,$10.25,60,19,09/28/2024,true,meclizine,dimenhydrinate\
SleepAidLiquid,$13.75,40,22,03/19/2025,true,diphenhydramine,valerian\
AntihistamineTablet,$6.50,150,47,06/30/2024,true,loratadine,chlorpheniramine\
MusclePainPatch,$11.99,65,28,11/15/2024,false,menthol,capsaicin\
VitaminD2000IU,$4.99,180,65,10/31/2025,false,none\
StressReliefCapsule,$19.75,70,34,08/20/2024,false,ashwagandha,valerian\
NervePainReliefGel,$12.25,55,20,05/01/2025,true,lidocaine,menthol\
DetoxHerbTea,$7.40,100,40,07/14/2024,false,dandelion,burdock\
}
