1,Aspirin,45,50,48,52,55,49,51,47,53,50,45,48
2,Lisinopril,30,32,35,31,29,33,30,34,31,32,30,35
3,Amoxicillin,75,70,80,72,78,75,73,77,74,76,75,71
4,Metformin,50,48,52,49,51,50,47,53,48,50,49,51
5,Oxycodone,25,23,26,24,25,25,24,26,25,24,25,23
6,Sertraline,40,42,38,41,39,40,43,37,40,41,40,39
7,Alprazolam,35,33,36,34,35,35,34,36,35,34,35,33
8,Hydrochlorothiazide,60,100,200,59,61,60,57,63,58,60,59,61
9,Gabapentin,30,32,29,31,30,300,33,28,30,31,30,29
10,Metoprolol,45,43,47,44,460,45,42,48,43,45,44,46
11,Prednisone,55,53,57,54,0,5,0,0,0,0,0,0
12,Amlodipine,40,38,42,39,41,40,37,43,38,40,39,41
13,Methylphenidate,20,22,18,21,19,20,23,17,20,21,20,19
14,Fluoxetine,65,63,67,64,66,65,62,68,63,65,64,66
15,Omeprazole,80,78,82,79,81,80,77,83,78,80,79,81
16,Levothyroxine,35,37,34,36,35,35,38,33,35,36,35,34
17,Morphine,15,13,16,14,15,15,14,16,15,14,15,13
18,Escitalopram,50,48,52,49,51,50,47,53,48,50,49,51
19,Pantoprazole,70,68,72,69,71,70,67,73,68,70,69,71
20,Tramadol,30,28,32,29,31,30,27,33,28,30,29,31
21,Cetirizine,85,90,88,92,95,89,91,87,93,90,85,88
22,Duloxetine,40,42,38,41,39,40,43,37,40,41,40,39
23,Warfarin,25,27,24,26,25,25,28,23,25,26,25,24
24,Venlafaxine,45,43,47,44,46,45,42,48,43,45,44,46
25,Fentanyl,10,8,11,9,10,10,9,11,10,9,10,8
